"respondent_id","brand.recall","brand.recognition"
95,"mcdonalds; kfc; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; niewiem"
19,"mcdonalds; kfc; subway; burgerking","kfc; niewiem; mcdonalds; subway"
111,"mcdonalds; kfc; popeyes; subway; burgerking; maxburgers; tacobell; pizzahut","kfc; burgerking; mcdonalds; subway; niewiem; wendys; maxburgers"
176,"mcdonalds; subway; burgerking; kfc","kfc; burgerking; mcdonalds; subway; tacobell; wendys; niewiem"
14,"mcdonalds; kfc; hesburger; subway; burgerking; chipotle; maxburgers; tacobell; saladstory","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
109,"mcdonalds; kfc; burgerking; subway; pizzahut; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; wendys; niewiem"
32,"mcdonalds; kfc; subway; burgerking; northfish","kfc; burgerking; mcdonalds; subway; niewiem"
55,"mcdonalds","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
119,"pizzahut; mcdonalds; kfc; subway; burgerking; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
198,"mcdonalds; kfc; burgerking; kebabking; amirkebab","kfc; niewiem; mcdonalds; maxburgers"
22,"mcdonalds; kfc; burgerking; maxburgers; kebabking; arbys; fiveguys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
67,"mcdonalds; kfc; fiveguys; otacos; subway; burgerking","kfc; burgerking; mcdonalds; niewiem; maxburgers"
70,"mcdonalds; popeyes; kfc; burgerking; wendys; tacobell; jollibee; dairyqueen; dominospizza; dunkindonuts; pizzahut","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
173,"mcdonalds; kfc; tacobell; maxburgers; burgerking; pizzahut; pizzadominos; subway; wendys; papajohns","kfc; niewiem; mcdonalds; subway; wendys; maxburgers"
93,"kfc; burgerking; mcdonalds","kfc; burgerking; mcdonalds; subway; niewiem; popeyes"
194,"mcdonalds; kfc; burgerking; subway; pizzahut","kfc; niewiem; mcdonalds; subway; maxburgers"
115,"mcdonalds; kfc; burgerking; wendys; maxburgers; chipotle; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
103,"kebabking; mcdonalds; pizzahut; kfc; dagrasso; burgerking","kfc; niewiem; mcdonalds; subway; tacobell; maxburgers"
177,"mcdonalds; kfc; pasibus; pizzahut; burgerking; subway; maxburgers","kfc; burgerking; mcdonalds; subway; niewiem; wendys; maxburgers"
121,"arbys; tacobell; chipotle; whataburger; littleceaser; wendys; hooters; fiveguys","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
63,"mcdonalds; kfc; subway; burgerking; maxburgers; northfish; thaiwok","kfc; burgerking; mcdonalds; subway; tacobell; niewiem; maxburgers"
150,"mcdonalds; kfc; maxburgers; burgerking","kfc; niewiem; mcdonalds; subway; tacobell; maxburgers"
17,"mcdonalds; subway","kfc; niewiem; mcdonalds; subway; tacobell; wendys; maxburgers"
107,"saladstory; mcdonalds; fiveguys; pandaexpress; maxburgers; burgerking; innout","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
101,"mcdonalds; kfc; thaiwok; saladstory; wrapme; subway; popeyes; northfish; kebabking; dominos; pizzahut; dagrasso","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
94,"mcdonalds; kfc; maxburgers; popeyes; northfish","kfc; burgerking; mcdonalds; subway; niewiem; wendys; maxburgers"
92,"mcdonalds; kfc; burgerking; popeyes; maxburgers; pizzahut; tacobell","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
78,"mcdonalds; kebabking; burgerking; kfc; saladstory; northfish; telepizza; dominospizza","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
45,"mcdonalds; kfc; burgerking; subway; popeyes; innout; wendys; tacobell; chickfila; dominos; chipotle; pizzahut; dunkindonuts; dairyqueen; applebees","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
30,"mcdonalds; burgerking; subway; tacobell; kfc; papajohns; maxburgers; telepizza; dominos; northfish; kebabking","kfc; burgerking; mcdonalds; subway; tacobell; niewiem; maxburgers"
160,"mcdonalds","kfc; niewiem; mcdonalds"
113,"mcdonalds; kfc; kebabking; subway; tacobell; burgerking","kfc; niewiem; mcdonalds; subway; tacobell; wendys"
6,"mcdonalds; kfc; burgerking; subway; maxburgers","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
49,"mcdonalds; kfc; burgerking","kfc; niewiem; mcdonalds; maxburgers; popeyes"
131,"mcdonalds; kfc; burgerking; subway; amirkebab; pizzahut; donerkebab","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
77,"dominospizza; mcdonalds; pizzahut; kfc; dagrasso","kfc; burgerking; mcdonalds; subway; niewiem"
28,"mcdonalds; kfc; burgerking","kfc; burgerking; mcdonalds; subway; niewiem"
170,"mcdonalds; kfc; burgerking; pizzahut; dominos; kebabking","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
168,"mcdonalds; kfc; subway; saladstory","kfc; niewiem; mcdonalds; subway; maxburgers"
200,"mcdonalds; kfc; burgerking","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
145,"kfc; mcdonalds; subway; burgerking; pizzahut","kfc; niewiem; mcdonalds; subway"
